,index,name,point_x,point_y,qxmc,gd_point_x,gd_point_y,format_address2
25,25,杭州明路蔚蓝幼儿园有限公司,120.0121874,30.28829627,余杭区,120.0,30.0,浙江省杭州市富阳区大源镇池滨路45号
26,26,宁波市东恩中学,121.5454994,29.85945445,海曙区,121.550649,29.857877,浙江省宁波市海曙区南门街道东恩中学
27,27,杭州市余杭区肯思幼儿园,119.9147569,30.24770264,余杭区,120.245433,30.409974,浙江省杭州市临平区星桥街道杭州方正速能科技有限公司
28,28,宁波市海曙区鄞江镇燕玲学校,121.3681753,29.80637072,海曙区,121.372964,29.804,浙江省宁波市海曙区鄞江镇金岩路鄞江镇燕玲学校
29,29,义乌市福田鑫焕幼儿园,120.1005592,29.34425551,义乌市,120.105269,29.341869,浙江省金华市义乌市福田街道银海鑫焕幼儿园银海2区
30,30,杭州市余杭区江南春·白云深处幼儿园,119.9670737,30.24536868,余杭区,119.971679,30.242819,浙江省杭州市余杭区余杭街道江南春城金成·白云深处
31,31,宁波市海曙区石碶街道栎社幼儿园,121.4790015,29.80800952,海曙区,121.478892,29.801996,浙江省宁波市海曙区石碶街道鄞州区石碶栎社幼儿园
32,32,义乌市北苑街道时代花园优幼幼稚园,120.053927,29.324774,义乌市,120.059461,29.320194,浙江省金华市义乌市北苑街道义乌市时代花园优幼幼稚园时代花园丹溪三区
33,33,宁波市实验幼儿园,121.520253,29.905397,海曙区,121.524459,29.903033,浙江省宁波市海曙区望春街道宁波市实验幼儿园青林园区
34,34,杭州市余杭区良渚七贤幼儿园,120.0019243,30.35325935,余杭区,120.051016,30.379881,浙江省杭州市余杭区良渚街道良渚村
35,35,义乌市福田街道中心幼儿园,120.1140806,29.33292995,义乌市,120.1293,29.316279,浙江省金华市义乌市江东街道东苑幼儿园下朱D区
36,36,杭州市余杭区鸬鸟镇中心小学,119.7535168,30.45495193,余杭区,119.758382,30.452539,浙江省杭州市余杭区鸬鸟镇秀山社区居委会
37,37,义乌市江东街道快乐幼儿园,120.084187,29.296766,义乌市,120.089221,29.293911,浙江省金华市义乌市江东街道篁园路233号篁园香江公寓
38,38,浙江省级机关北山幼儿园,120.146235,30.26479031,西湖区,120.150893,30.262419,浙江省杭州市西湖区北山街道保俶路45号浙江省级机关北山幼儿园
39,39,宁波市海曙区洞桥镇中心幼儿园,121.4077403,29.78416151,海曙区,121.412121,29.782072,浙江省宁波市海曙区洞桥镇洞桥镇中心幼儿园
40,40,义乌市廿三里乐哈哈幼儿园,120.1765066,29.32321032,义乌市,120.181117,29.320366,浙江省金华市义乌市廿三里街道武梅二街102号后乐小区
41,41,杭州云谷学校,120.0516391,30.28340494,西湖区,120.056144,30.281064,浙江省杭州市西湖区蒋村街道春申街17号杭州市育才教育集团文溪小学
42,42,义乌市后宅街道湖门幼儿园,120.040129,29.39915292,义乌市,120.04525,29.396943,浙江省金华市义乌市后宅街道清枫雨服饰湖门幼儿园
43,43,浙江省杭州第七中学,120.0519114,30.15144314,西湖区,120.056798,30.149077,浙江省杭州市西湖区转塘街道转塘派出所杭州第七中学校园警务室浙江省杭州第七中学转塘校区
44,44,宁波市海曙区古林镇薛家小学,121.4966271,29.85732021,海曙区,121.500961,29.854884,浙江省宁波市海曙区古林镇古林镇实验小学
45,45,杭州初阳幼儿园有限公司,120.0628519,30.29332784,西湖区,120.0,30.0,浙江省杭州市富阳区大源镇池滨路45号
46,46,杭州市余杭区良渚古墩路小学,120.073622,30.3510443,余杭区,120.079712,30.348529,浙江省杭州市余杭区良渚街道北六路余杭区良渚古墩路小学
47,47,宁波市新芝幼儿园,121.5265747,29.89031518,海曙区,121.551658,29.864037,浙江省宁波市海曙区江厦街道莲桥第幼儿园莲桥园区莲桥第
48,48,宁波市海曙区古林镇藕池幼儿园,121.5056578,29.84236105,海曙区,121.510016,29.839964,浙江省宁波市海曙区古林镇藕池幼儿园藕池小学
49,49,宁波市海曙区石碶街道实验小学,121.4442275,29.79432463,海曙区,121.495324,29.823885,浙江省宁波市海曙区石碶街道机场路阳光丽园一期
50,50,杭州市余杭区七贤郡幼儿园,120.0018853,30.34977911,余杭区,120.245433,30.409974,浙江省杭州市临平区星桥街道杭州方正速能科技有限公司
51,51,宁波市海曙区古林镇蜃蛟幼儿园,121.3976246,29.81808732,海曙区,121.402003,29.815889,浙江省宁波市海曙区古林镇鄞州银行(蜃蛟分理处)
52,52,义乌市城西街道新一代幼儿园,119.981322,29.31653895,义乌市,119.985841,29.313896,浙江省金华市义乌市城西街道新一代幼儿园(东河店)西站1区
53,53,杭州市西湖区紫金港幼儿园,120.063774,30.30370152,西湖区,120.130203,30.259324,浙江省杭州市西湖区灵隐街道杭州市西湖区人民政府
54,54,宁波市海曙区高桥镇宝宝幼儿园,121.4690238,29.87813937,海曙区,121.473292,29.876094,浙江省宁波市海曙区高桥镇宝宝幼儿园
55,55,义乌市后宅向日葵幼儿园,120.0699718,29.35423397,义乌市,120.074803,29.351812,浙江省金华市义乌市后宅街道向日葵幼儿园遗安2区
56,56,浙江大学附属中学,120.1265869,30.26143179,西湖区,120.131993,30.258976,浙江省杭州市西湖区北山街道曙光路89号浙江大学附属中学玉泉校区
57,57,义乌市新义中学,120.056842,29.3139654,义乌市,120.06157,29.31146,浙江省金华市义乌市北苑街道义乌市新义中学浙江义乌外国语学校
58,58,义乌华溪小学,120.2004588,29.3505325,义乌市,120.204595,29.348572,浙江省金华市义乌市廿三里街道廿三里派出所华溪小学警务室
59,59,杭州市余杭区育蕾学校,120.3156447,30.37853406,余杭区,120.320554,30.376182,浙江省杭州市临平区南苑街道东湖南路595号余杭区育蕾学校
60,60,宁波市海曙区石碶博聪幼儿园,121.4875603,29.81628404,海曙区,121.492061,29.813873,浙江省宁波市海曙区石碶街道博聪幼儿园
61,61,义乌市北苑望道路幼儿园,120.0392496,29.34287129,义乌市,120.044224,29.340271,浙江省金华市义乌市北苑街道望道路幼儿园柳青5区
62,62,浙江省德清县职业中等专业学校,119.9386209,30.54992809,德清县,119.94293,30.547907,浙江省湖州市德清县武康街道德清县职兴教育培训中心浙江省德清县职业中等专业学校
63,63,杭州市余杭区仓前中心小学,119.9903222,30.29261889,余杭区,119.995446,30.289376,浙江省杭州市余杭区仓前街道太炎花园小区梦想小镇
64,64,宁波市海曙区石碶街道宸卿小学,121.5028911,29.83519687,海曙区,121.507042,29.832298,浙江省宁波市海曙区石碶街道宸卿小学
65,65,浙江大学幼儿园玉泉分园,120.1257567,30.26523628,西湖区,120.13049,30.262983,浙江省杭州市西湖区灵隐街道浙江大学幼儿园玉泉分园
66,66,杭州市西湖区山水学前教育集团（总园）,120.1028131,30.27288429,西湖区,120.111043,30.2904,浙江省杭州市西湖区古荡街道山水学前教育集团莲花港幼儿园
67,67,义乌市义亭红果果幼儿园,119.9570079,29.20631777,义乌市,119.96151,29.203469,浙江省金华市义乌市义亭镇红果果幼儿园
68,68,杭州市余杭区五常文福幼儿园,120.0314067,30.29160411,余杭区,120.043873,30.270686,浙江省杭州市余杭区五常街道五常村五常中学
69,69,义乌市绣湖中学教育集团,120.0604804,29.31281598,义乌市,120.08075,29.311404,浙江省金华市义乌市稠城街道义东路义化小区
70,70,义乌市稠江学雅幼儿园,120.0327009,29.29218365,义乌市,120.037437,29.289307,浙江省金华市义乌市稠江街道佰草堂义乌11都酒店
71,71,杭州市余杭区塘栖镇第一幼儿园,120.1851197,30.47804372,余杭区,120.190263,30.47611,浙江省杭州市临平区塘栖镇塘超小径塘栖乐苑小区
72,72,杭州市余杭区径山镇双溪幼儿园,119.8207394,30.40938898,余杭区,119.825001,30.407177,浙江省杭州市余杭区径山镇217县道
73,73,杭州市西湖小学教育集团（总校）,120.1262284,30.25585827,西湖区,120.131174,30.253618,浙江省杭州市西湖区北山街道西湖小学教育集团西湖小学
74,74,义乌市金城高尔夫幼儿园,120.0646221,29.35996556,义乌市,120.069237,29.357613,浙江省金华市义乌市后宅街道金城高尔夫幼儿园金城高尔夫2区
75,75,义乌市后宅街道洪华凯旋幼儿园,120.0717659,29.35710862,义乌市,120.076121,29.354546,浙江省金华市义乌市后宅街道洪华凯旋幼儿园洪华小区
76,76,杭州市余杭区育海外国语学校,119.9919752,30.23249034,余杭区,119.997496,30.229866,浙江省杭州市余杭区闲林街道天目山西路261号杭州育海外国语学校
77,77,义乌市城西殿口幼儿园,119.9922663,29.29679342,义乌市,119.996755,29.294168,浙江省金华市义乌市城西街道殿口幼儿园
78,78,宁波市海曙区石碶培星幼儿园,121.4803633,29.80778222,海曙区,121.48475,29.805392,浙江省宁波市海曙区石碶街道栎社街116号栎社小学
79,79,义乌市后宅街道鹤田幼儿园,120.0604108,29.41129031,义乌市,120.065008,29.411009,浙江省金华市义乌市后宅街道德胜古韵(义乌精品线)鹤田幼儿园
80,80,义乌市稠城第一小学教育集团,120.0753316,29.30862141,义乌市,120.084203,29.301906,浙江省金华市义乌市稠城街道稠城第一小学教育集团
81,81,杭州市金都中心幼儿园,120.0923107,30.28759412,西湖区,120.097269,30.285246,浙江省杭州市西湖区文新街道新金都城市花园
82,82,义乌公学,120.0000704,29.30621768,义乌市,120.075058,29.306841,浙江省金华市义乌市稠城街道义乌市义乌市政府大楼
83,83,义乌市江东街道南苑幼儿园,120.0693157,29.28603194,义乌市,120.07404,29.283446,浙江省金华市义乌市江东街道南苑幼儿园(江南四区东北)江南4区
84,84,杭州市余杭区径山镇长乐幼儿园,119.8487489,30.33813595,余杭区,119.865257,30.374949,浙江省杭州市余杭区径山镇径山镇径山镇人民政府
85,85,义乌市北苑街道现代城市花园幼儿园,120.0375169,29.31664659,义乌市,120.043958,29.315091,浙江省金华市义乌市北苑街道现代城市花园现代城市花园四季五区
86,86,义乌市廿三里街道埠头幼儿园,120.1929863,29.3313819,义乌市,120.200253,29.329046,浙江省金华市义乌市廿三里街道埠头村
87,87,义乌宋庆龄幼儿园,120.0504687,29.2831756,义乌市,120.075058,29.306841,浙江省金华市义乌市稠城街道义乌市义乌市政府大楼
88,88,杭州市余杭区塘栖镇超山中心小学,120.19926,30.44808679,余杭区,120.219446,30.443516,浙江省杭州市临平区塘栖镇超山中心小学
89,89,义乌市廿三里街道何宅幼儿园,120.1854641,29.31173635,义乌市,120.189995,29.309153,浙江省金华市义乌市廿三里街道何宅幼儿园
90,90,宁波市海曙区横街镇中心幼儿园,121.3919793,29.85665193,海曙区,121.400219,29.852758,浙江省宁波市海曙区横街镇横街镇校横街镇中心小学
91,91,宁波市海曙区石碶乐乐幼儿园,121.5026459,29.81606579,海曙区,121.507082,29.813598,浙江省宁波市海曙区石碶街道乐乐幼儿园(万金路)
92,92,杭州市余杭区英特西溪外国语学校,119.9786624,30.24753803,余杭区,119.983706,30.244569,浙江省杭州市余杭区闲林街道上文山村英特西溪外国语学校
93,93,宁波市海曙区高桥镇灵云幼儿园,121.4767326,29.87940383,海曙区,121.481124,29.876852,浙江省宁波市海曙区高桥镇望童路1005号灵云幼儿园
94,94,杭州西溪伟才幼儿园有限公司,120.0835248,30.26246229,西湖区,119.961288,30.12951,浙江省杭州市富阳区银湖街道上上线
95,95,宁波市海曙区石碶新阳幼儿园,121.4513927,29.79907322,海曙区,121.455951,29.796704,浙江省宁波市海曙区石碶街道鄞州区石矸街道新阳幼儿园
96,96,浙江省广播电视中等专业学校,120.1318291,30.27770517,西湖区,120.152791,30.267446,浙江省杭州市西湖区北山街道浙江省人民政府
97,97,义乌市廿三里街道小白鸽幼儿园,120.1639641,29.32739935,义乌市,120.168309,29.325872,浙江省金华市义乌市廿三里街道开元南街82号
98,98,杭州市余杭区塘栖镇宏畔幼儿园,120.1571608,30.44443605,余杭区,120.18845,30.473465,浙江省杭州市临平区塘栖镇塘栖镇人民政府1号楼塘栖镇人民政府
99,99,杭州市余杭区北湖绿洲幼儿园,119.9748339,30.3810721,余杭区,119.979162,30.378679,浙江省杭州市余杭区瓶窑镇国辅路85号北湖绿洲花园
100,100,义乌市廿三里安博幼儿园,120.1668843,29.34917626,义乌市,120.170095,29.323052,浙江省金华市义乌市廿三里街道通宝路53号
101,101,宁波市海曙区洞桥镇百梁天成希望小学,121.3857417,29.76967903,海曙区,121.390561,29.7677,浙江省宁波市海曙区洞桥镇洞百公路洞桥镇百梁天成希望小学
102,102,宁波市海曙区洞桥镇晨晨幼儿园,121.4164014,29.76347338,海曙区,121.421173,29.761224,浙江省宁波市海曙区洞桥镇晨晨幼儿园(洞桥镇宁锋社区卫生服务站西)
103,103,义乌市廿三里街道金桥人家幼儿园,120.1612389,29.33243678,义乌市,120.166265,29.329626,浙江省金华市义乌市廿三里街道永泰路金桥人家
104,104,杭州市余杭区昂立天都城幼儿园,120.243687,30.389117,余杭区,120.24443,30.39141,浙江省杭州市临平区星桥街道莱茵扒房天都城酒店
105,105,浙江义乌枫叶国际学校,120.0408104,29.27179893,义乌市,120.112935,29.347686,浙江省金华市义乌市福田街道福建龙兴针纺诚信1区
106,106,宁波市海曙区古林镇中心初级中学,121.4927963,29.8623315,海曙区,121.435704,29.83524,浙江省宁波市海曙区古林镇古林镇人民政府古林派出所
107,107,浙江大学幼儿园西溪分园,120.1381314,30.27681716,西湖区,120.142874,30.274545,浙江省杭州市西湖区西溪街道浙江大学西溪校区幼儿园浙江大学西溪校区
108,108,义乌市佛堂镇石北幼儿园,120.089069,29.219266,义乌市,120.017351,29.196282,浙江省金华市义乌市佛堂镇佛堂镇佛堂镇人民政府
109,109,浙江远大专修学院,120.117062,30.27849482,西湖区,120.175415,30.318184,浙江省杭州市拱墅区东新街道重机巷64号东新派出所
110,110,杭州市学军中学海创园学校,119.9613054,30.2510239,余杭区,120.139277,30.278356,浙江省杭州市西湖区西溪街道浙江大学西溪校区北园杭州学军中学西溪校区
111,111,杭州市翠苑中学,120.1216127,30.29288952,西湖区,120.099276,30.289074,浙江省杭州市西湖区文新街道古墩路580号杭州市翠苑中学文华校区
112,112,杭州之江高级中学,120.0060007,30.20888932,西湖区,120.010698,30.206459,浙江省杭州市西湖区留下街道绿野春天杭州之江专修学院小和山校区
113,113,义乌市赤岸镇毛店幼儿园,119.993325,29.101405,义乌市,119.997776,29.098545,浙江省金华市义乌市赤岸镇五指山路55-57号
114,114,杭州市余杭区良渚西塘雅苑幼儿园,120.0835131,30.35031773,余杭区,120.007857,30.402752,浙江省杭州市余杭区良渚街道西塘村
115,115,杭州市西湖区政苑幼儿园,120.09754,30.29928232,西湖区,120.102173,30.297049,浙江省杭州市西湖区三墩镇政苑幼儿园政苑小区
116,116,杭州市余杭区未来科技城海曙幼儿园,120.0272701,30.29378741,余杭区,119.979474,30.274098,浙江省杭州市余杭区仓前街道文一西路1521号杭州市余杭区人民政府
117,117,义乌市启东学校教育集团,120.1132728,29.37310147,义乌市,120.116303,29.354224,浙江省金华市义乌市福田街道大通路
118,118,宁波市海曙区古林镇藕池小学,121.5058082,29.84227933,海曙区,121.510043,29.840396,浙江省宁波市海曙区古林镇藕池小学
119,119,杭州东方中学,120.0822223,30.25627531,西湖区,120.142734,30.312629,浙江省杭州市拱墅区小河街道锦昌文华(紫荆家园社区卫生服务站东)锦昌文华1期
120,120,义乌市后宅街道塘下幼儿园,120.0109237,29.36474331,义乌市,120.015588,29.362147,浙江省金华市义乌市后宅街道黄岭线
121,121,宁波市海曙区集士港镇科创幼儿园,121.4502736,29.85981881,海曙区,121.445158,29.861745,浙江省宁波市海曙区集士港镇集士港镇城投大厦
122,122,杭州市余杭区未来科技城海创幼儿园,120.0140822,30.27603187,余杭区,119.979474,30.274098,浙江省杭州市余杭区仓前街道文一西路1521号杭州市余杭区人民政府
123,123,杭州市余杭区蒲公英学校,120.000497,30.385359,余杭区,120.004568,30.382817,浙江省杭州市余杭区瓶窑镇浙江社会科学进修学院蒲公英学校
124,124,义乌市江东街道塔下洲幼儿园,120.043391,29.273184,义乌市,120.103064,29.304974,浙江省金华市义乌市江东街道江东街道办事处
125,125,义乌市后宅街道西何幼儿园,120.0486665,29.37192217,义乌市,120.053391,29.369514,浙江省金华市义乌市后宅街道西何幼儿园
126,126,宁波市海曙区集士港镇祝家桥幼儿园,121.444102,29.87873349,海曙区,121.448739,29.876331,浙江省宁波市海曙区集士港镇祝家桥幼儿园
127,127,杭州市余杭区乔司杭海路小学,120.2805872,30.32711295,余杭区,120.291417,30.349343,浙江省杭州市临平区乔司街道兴安公寓(西区)兴安公寓西区
128,128,杭州市余杭区维翰学校,120.0372239,30.27988765,余杭区,120.042365,30.279031,浙江省杭州市余杭区五常街道荆长路西溪风情(纬七路)
129,129,义乌市江东梅湖幼儿园,120.10417,29.315459,义乌市,120.10841,29.312743,浙江省金华市义乌市江东街道义乌市梅湖体育中心体育馆
130,130,义乌市后宅街道全备幼儿园,120.0649489,29.373033,义乌市,120.06904,29.370343,浙江省金华市义乌市后宅街道商城大道浙江石油后宅商城大道全备加油站
131,131,宁波市海曙区横街镇中心初级中学,121.3965926,29.8545369,海曙区,121.401292,29.852439,浙江省宁波市海曙区横街镇交石段横街镇中心初级中学
132,132,杭州市余杭区乔司第三幼儿园,120.2766151,30.3344259,余杭区,120.291417,30.349343,浙江省杭州市临平区乔司街道兴安公寓(西区)兴安公寓西区
133,133,杭州市西湖区转塘幼儿园,120.0697482,30.16215738,西湖区,120.074481,30.160018,浙江省杭州市西湖区转塘街道博美路9号杭州市西湖区转塘幼儿园
134,134,宁波市海曙区高桥镇邵家幼儿园,121.4300846,29.91490816,海曙区,121.43448,29.91265,浙江省宁波市海曙区高桥镇邵家幼儿园
135,135,义乌市城西街道五星幼儿园,119.9851083,29.31701066,义乌市,119.989538,29.314588,浙江省金华市义乌市城西街道五星幼儿园
136,136,杭州市余杭区人大附中学校,119.9156135,30.24793582,余杭区,120.245433,30.409974,浙江省杭州市临平区星桥街道杭州方正速能科技有限公司
137,137,杭州市余杭区仁和东风小学,120.0748688,30.43748269,余杭区,120.094154,30.423016,浙江省杭州市余杭区仁和街道西南山北路62号
138,138,杭州市余杭区良渚实验学校,120.0757758,30.35833238,余杭区,120.018987,30.35114,浙江省杭州市余杭区良渚街道杭州安吉路良渚实验学校
139,139,义乌市上溪永晟幼儿园,119.9371921,29.28613189,义乌市,119.941472,29.283158,浙江省金华市义乌市上溪镇四通路162号永晟幼儿园
140,140,义乌市苏溪镇中心幼儿园,120.1368058,29.40618733,义乌市,120.131443,29.40965,浙江省金华市义乌市苏溪镇镇前街35号苏溪镇人民政府
141,141,杭州市余杭区星运幼儿园,120.2617301,30.39375945,余杭区,120.109858,30.353769,浙江省杭州市余杭区良渚街道良运街48号杭州城北万象城(建设中)
142,142,杭州市西湖区莲花港幼儿园,120.1062565,30.29253645,西湖区,120.110595,30.290107,浙江省杭州市西湖区古荡街道湖畔·莲花港家园
143,143,宁波市海曙区石碶国骅聚星文化武术学校,121.480962,29.83333561,海曙区,121.485349,29.830944,浙江省宁波市海曙区石碶街道求精路1号立星学校后仓校区
144,144,宁波市海曙区古林镇俞家幼儿园,121.4369834,29.84478897,海曙区,121.441503,29.842486,浙江省宁波市海曙区古林镇俞家社区卫生服务站
145,145,杭州市余杭区大井幼儿园,120.2451414,30.35123003,余杭区,120.249663,30.348572,浙江省杭州市临平区乔司街道杭州市大井幼儿园
146,146,宁波市海曙区集士港镇新星幼儿园,121.4199196,29.88547733,海曙区,121.424377,29.883378,浙江省宁波市海曙区集士港镇新星幼儿园(白岳医院西南)
147,147,义乌市上溪镇陶启智幼儿园,119.9066427,29.26186942,义乌市,119.910912,29.259109,浙江省金华市义乌市上溪镇吴萧路陶启智幼儿园
148,148,宁波市海曙区集士港镇三禾幼儿园,121.4375459,29.86673641,海曙区,121.442383,29.864361,浙江省宁波市海曙区集士港镇广盛路9号集士港镇三禾幼儿园
149,149,杭州市余杭区文正小学,120.2973926,30.36824937,余杭区,120.245433,30.409974,浙江省杭州市临平区星桥街道杭州方正速能科技有限公司
150,150,杭州市余杭区临平第五小学,120.3200048,30.44354001,余杭区,120.303038,30.419659,浙江省杭州市临平区临平街道西大街85-86号临平大酒店
151,151,宁波市第二中学,121.5363996,29.86732578,海曙区,121.540599,29.864778,浙江省宁波市海曙区月湖街道长春路57号宁波市第二中学松苑校区
152,152,杭州市余杭区闲林白洋畈幼儿园,119.9732493,30.23361,余杭区,119.981649,30.224844,浙江省杭州市余杭区闲林街道白羊畈公寓金辉·贤林信步
153,153,义乌市大陈镇大陈初级中学,120.115918,29.456588,义乌市,120.121902,29.45587,浙江省金华市义乌市大陈镇蒋山脚大陈镇初级中学
154,154,宁波市海曙区石碶街道雅悦幼儿园,121.51168,29.83642924,海曙区,121.50668,29.828435,浙江省宁波市海曙区石碶街道食品街68号北路一村
155,155,义乌市江东街道叮叮幼儿园,120.08768,29.30468763,义乌市,120.091494,29.301603,浙江省金华市义乌市江东街道叮叮幼儿园
156,156,义乌市北苑吉尔优幼儿园,120.0415946,29.34714805,义乌市,120.046551,29.344562,浙江省金华市义乌市北苑街道丹溪北路柳三村B区
157,157,杭州仁和实验学校,120.092825,30.179154,西湖区,120.097788,30.177285,浙江省杭州市西湖区西湖街道杭州西湖风景名胜区浙江建人专修学院
158,158,杭州师范大学幼儿园,120.1322934,30.28354823,西湖区,120.136045,30.281017,浙江省杭州市西湖区西溪街道耀江文欣苑(文二路)耀江文欣苑
159,159,宁波市海曙区古林镇宝韵华城幼儿园,121.4987958,29.86974467,海曙区,121.503077,29.867001,浙江省宁波市海曙区古林镇薛家南路52-1号盛世华城
160,160,宁波市海曙区镇明中心小学,121.525747,29.857685,海曙区,121.545907,29.865558,浙江省宁波市海曙区月湖街道云石街56号宁波市镇明中心小学
161,161,义乌市廿三里米兰幼儿园,120.166953,29.35345753,义乌市,120.171875,29.35075,浙江省金华市义乌市廿三里街道武康路义乌市宁晨文化用品有限公司
162,162,宁波市海曙区横街镇凤岙学校,121.3848533,29.85043595,海曙区,121.399322,29.854169,浙江省宁波市海曙区横街镇横街镇横街镇中心小学
163,163,宁波市海曙区集士港镇希望幼儿园,121.3937462,29.89236127,海曙区,121.398124,29.890156,浙江省宁波市海曙区集士港镇希望幼儿园(双银社区卫生服务站南)
164,164,义乌市稠城康乐幼儿园,120.0800775,29.31012611,义乌市,120.084821,29.307935,浙江省金华市义乌市稠城街道香港城一街30号康乐幼儿园(香港城一街)
165,165,宁波市海曙区鄞江镇梅园幼儿园,121.3686,29.80510231,海曙区,121.372823,29.802727,浙江省宁波市海曙区鄞江镇梅园幼儿园
166,166,杭州市西湖区文新学前教育集团（总园）,120.094461,30.29080745,西湖区,120.069106,30.330535,浙江省杭州市西湖区三墩镇国立钢琴艺术中心(金地自在城店)金地悦活轩
167,167,义乌市后宅守真幼儿园,120.0385534,29.37125993,义乌市,120.04317,29.36872,浙江省金华市义乌市后宅街道守真幼儿园(何界分园)
168,168,浙江新世纪经贸专修学院,119.9683002,30.24055365,余杭区,119.972202,30.237736,浙江省杭州市余杭区闲林街道209县道大学生创意园
169,169,义乌市荷塘月色幼儿园,120.0987628,29.36223802,义乌市,120.103354,29.361356,浙江省金华市义乌市福田街道荷塘月色(涌金大道)
170,170,宁波市海曙区高桥镇绿茵君尚幼儿园,121.4568081,29.89081297,海曙区,121.461535,29.904863,浙江省宁波市海曙区高桥镇文化路1号宁波市公安局交通警察局海曙大队高桥中队
171,171,义乌市廿三里街道东陈幼儿园,120.159831,29.3489779,义乌市,120.16435,29.34635,浙江省金华市义乌市廿三里街道花仙路293号
172,172,杭州市余杭区临平街道中心幼儿园,120.2708069,30.44232771,余杭区,120.27683,30.434155,浙江省杭州市临平区临平街道顺达路159-30号临平街道中心幼儿园顺达园区
173,173,杭州市余杭区未来科技城海云幼儿园,119.9926887,30.2867093,余杭区,119.979474,30.274098,浙江省杭州市余杭区仓前街道文一西路1521号杭州市余杭区人民政府
