objectid,ame,ddress,point_x,point_y,dsmc,qxmc,xzmc,xxlb,xzqdm,dj,gdb_geomattr_data,shape
376,义乌市雪峰初中,浙江省义乌市佛堂镇蟠龙西路388号,120.002208,29.208511,金华市,义乌市,佛堂镇,初级中学,330782,中等教育,NULL,01010000208A11000088F2052D24005E4030DB15FA60353D40
379,义乌市义亭镇王阡幼儿园,浙江省义乌市义亭镇王阡一村,119.9424861,29.23380239,金华市,义乌市,义亭镇,幼儿园,330782,学前教育,NULL,01010000208A110000705A67B151FC5D40404D1D79DA3B3D40
383,杭州明路蔚蓝幼儿园有限公司,杭州市余杭区五常街道三维智汇中心6幢1单元101室、6幢2单元101室、7幢1单元101室,120.0121874,30.28829627,杭州市,余杭区,五常街道,幼儿园,330110,学前教育,NULL,01010000208A110000181BA9ADC7005E40F0E9C6C8CD493E40
393,宁波市东恩中学,海曙区灵桥路164号,121.5454994,29.85945445,宁波市,海曙区,南门街道,初级中学,330203,中等教育,NULL,01010000208A110000C8C94276E9625E40C0F8E13405DC3D40
406,杭州市余杭区肯思幼儿园,余杭区中泰街道国文路1号,119.9147569,30.24770264,杭州市,余杭区,中泰街道,幼儿园,330110,学前教育,NULL,01010000208A11000090C1A9608BFA5D40400CA570693F3E40
457,宁波市海曙区鄞江镇燕玲学校,宁波市海曙区鄞江镇大桥村,121.3681753,29.80637072,宁波市,海曙区,鄞江镇,小学,330203,初等教育,NULL,01010000208A110000A0B0292F90575E4010ACAD4F6ECE3D40
482,义乌市福田鑫焕幼儿园,义乌市福田银海二区15幢1号,120.1005592,29.34425551,金华市,义乌市,福田街道,幼儿园,330782,学前教育,NULL,01010000208A110000907B01906F065E40709F082121583D40
503,杭州市余杭区江南春·白云深处幼儿园,余杭街道上文山白云深处别墅区,119.9670737,30.24536868,杭州市,余杭区,余杭街道,幼儿园,NULL,学前教育,NULL,01010000208A110000A8BCFB88E4FD5D40905B5C7BD03E3E40
543,宁波市海曙区石碶街道栎社幼儿园,浙江省宁波 市海曙区石碶街道联丰工业区12号,121.4790015,29.80800952,宁波市,海曙区,石碶街道,幼儿园,330203,学前教育,NULL,01010000208A110000D00BF3F5A75E5E40B0413FB6D9CE3D40
545,义乌市北苑街道时代花园优幼幼稚园,丹溪社区居委会,120.053927,29.324774,金华市,义乌市,北苑街道,幼儿园,330781,学前教育,NULL,01010000208A110000C8573B8A73035E4050978C6324533D40
553,宁波市实验幼儿园,青林湾东区2号、维科上院30号,121.520253,29.905397,宁波市,海曙区,望春街道,幼儿园,NULL,学前教育,NULL,01010000208A11000058293DD34B615E4080E50819C8E73D40
646,杭州市余杭区良渚七贤幼儿园,杭州市余杭区良渚街道崇福山居一号楼,120.0019243,30.35325935,杭州市,余杭区,良渚街道,幼儿园,330110,学前教育,NULL,01010000208A110000C05927871F005E40105F5E346F5A3E40
648,义乌市福田街道中心幼儿园,义乌市商博路612号,120.1140806,29.33292995,金华市,义乌市,福田街道,幼儿园,330782,学前教育,NULL,01010000208A110000587CC5184D075E40D0ED9DE53A553D40
666,杭州市余杭区鸬鸟镇中心小学,杭州市余杭区鸬鸟镇雅城镇236号,119.7535168,30.45495193,杭州市,余杭区,鸬鸟镇,小学,330110,初等教育,NULL,01010000208A110000902E699E39F05D40209ACCBA77743E40
679,义乌市江东街道快乐幼儿园,江东金村C区37栋,120.084187,29.296766,金华市,义乌市,江东街道,幼儿园,330281,学前教育,NULL,01010000208A110000E8EFDE5163055E40909048DBF84B3D40
682,浙江省级机关北山幼儿园,杭州市西湖区宝石社区,120.146235,30.26479031,杭州市,西湖区,北山街道,幼儿园,330106,学前教育,NULL,01010000208A110000A802F4E95B095E4070BF394CC9433E40
699,宁波市海曙区洞桥镇中心幼儿园,宁波市海曙区洞桥镇文卫路49号,121.4077403,29.78416151,宁波市,海曙区,洞桥镇,幼儿园,330203,学前教育,NULL,01010000208A110000789CF36A185A5E40F01D15CFBEC83D40
704,义乌市廿三里乐哈哈幼儿园,义乌市廿三里街道后,120.1765066,29.32321032,金华市,义乌市,廿三里街,幼儿园,330782,学前教育,NULL,01010000208A110000306327E24B0B5E4040B862E9BD523D40
738,杭州云谷学校,杭州市西湖区蒋村街道春申街,120.0516391,30.28340494,杭州市,西湖区,蒋村街道,九年一贯制学校,330106,中等教育,NULL,01010000208A110000388CEB0D4E035E40A087E0398D483E40
744,义乌市后宅街道湖门幼儿园,义乌市后宅街道湖门村,120.040129,29.39915292,金华市,义乌市,后宅街道,幼儿园,330782,学前教育,NULL,01010000208A110000A01D067991025E4050FAD6E22E663D40
749,浙江省杭州第七中学,浙江省杭州市西湖区转塘环山路1号,120.0519114,30.15144314,杭州市,西湖区,转塘街道,高级中学,330106,中等教育,NULL,01010000208A110000F0473F8452035E40600730FAC4263E40
776,宁波市海曙区古林镇薛家小学,浙江省宁波市海曙区古林镇薛家村1号,121.4966271,29.85732021,宁波市,海曙区,古林镇,小学,330203,初等教育,NULL,01010000208A110000F835EBBCC85F5E4060BD605679DB3D40
786,杭州初阳幼儿园有限公司,杭州市西湖区蒋村街道双龙街199号,120.0628519,30.29332784,杭州市,西湖区,蒋村街道,幼儿园,330106,学前教育,NULL,01010000208A1100000833E3C305045E4070CE8788174B3E40
793,杭州市余杭区良渚古墩路小学,余杭区良渚街道金汇南路7号古墩路小学,120.073622,30.3510443,杭州市,余杭区,良渚街道,小学,330110,初等教育,NULL,01010000208A1100001022E938B6045E4000A7070ADE593E40
795,宁波市新芝幼儿园,柳翠街80号；永丰西路98弄54号,121.5265747,29.89031518,宁波市,海曙区,西门街道,幼儿园,NULL,学前教育,NULL,01010000208A110000D05D6666B3615E40001E22B2EBE33D40
836,宁波市海曙区古林镇藕池幼儿园,宁波市海曙区古林镇藕池新村2号,121.5056578,29.84236105,宁波市,海曙区,古林镇,幼儿园,330203,学前教育,NULL,01010000208A110000F01491B25C605E40A02C49F9A4D73D40
858,宁波市海曙区石碶街道实验小学,浙江省宁波市海曙区石碶街道横涨村广泽南路2999号,121.4442275,29.79432463,宁波市,海曙区,石碶街道,小学,330203,初等教育,NULL,01010000208A110000E05F40396E5C5E40505FD7DB58CB3D40
876,杭州市余杭区七贤郡幼儿园,余杭区良渚街道文化村南区七贤郡,120.0018853,30.34977911,杭州市,余杭区,良渚街道,幼儿园,330110,学前教育,NULL,01010000208A110000708D4CE31E005E40A0FAA91F8B593E40
883,宁波市海曙区古林镇蜃蛟幼儿园,宁波市海曙区古林镇蜃蛟村小魏家26号,121.3976246,29.81808732,宁波市,海曙区,古林镇,幼儿园,330203,学前教育,NULL,01010000208A110000A8F15FAE72595E4020DABD2B6ED13D40
884,义乌市城西街道新一代幼儿园,浙江省义乌市城西街道西站一区22幢,119.981322,29.31653895,金华市,义乌市,城西街道,幼儿园,330782,学前教育,NULL,01010000208A11000068D5E1FACDFE5D40F0FA44B208513D40
886,杭州市西湖区紫金港幼儿园,杭州市五常港路与蒋墩路交叉口,120.063774,30.30370152,杭州市,西湖区,三墩镇,幼儿园,330106,学前教育,NULL,01010000208A11000050288CDF14045E40408EF761BF4D3E40
912,宁波市海曙区高桥镇宝宝幼儿园,浙江省宁波市海曙区高桥镇严家村117号,121.4690238,29.87813937,宁波市,海曙区,高桥镇,幼儿园,330205,学前教育,NULL,01010000208A110000E8EB5D7C045E5E406098D6BDCDE03D40
920,义乌市后宅向日葵幼儿园,义乌市后宅街道遗安新村二区3幢,120.0699718,29.35423397,金华市,义乌市,后宅街道,幼儿园,330782,学前教育,NULL,01010000208A1100003085226B7A045E4040B1CB13AF5A3D40
939,浙江大学附属中学,杭州市曙光路89号,120.1265869,30.26143179,杭州市,西湖区,北山街道,高级中学,330127,中等教育,NULL,01010000208A11000030B6FCFF19085E40D0E39731ED423E40
953,义乌市新义中学,义乌市西城路412号,120.056842,29.3139654,金华市,义乌市,北苑街道,十二年一贯制学校,330782,中等教育,NULL,01010000208A110000A0A9734CA3035E40D030480960503D40
982,义乌华溪小学,浙江省金华市义乌市廿三里街道华溪村委会,120.2004588,29.3505325,金华市,义乌市,廿三里街,小学,330782,初等教育,NULL,01010000208A11000090BA3651D40C5E4070DD887FBC593D40
999,杭州市余杭区育蕾学校,余杭区南苑街道高地社区工业园区,120.3156447,30.37853406,杭州市,余杭区,南苑街道,九年一贯制学校,330110,中等教育,NULL,01010000208A11000090FAF18533145E4050B6B89BE7603E40
1008,宁波市海曙区石碶博聪幼儿园,宁波海曙区石碶街道雅戈尔达到599号,121.4875603,29.81628404,宁波市,海曙区,石碶街道,幼儿园,330203,学前教育,NULL,01010000208A1100001825E82F345F5E4070299BFDF7D03D40
1026,义乌市北苑望道路幼儿园,浙江省金华市义乌市北苑街道柳一村委会,120.0392496,29.34287129,金华市,义乌市,北苑街道,幼儿园,330782,学前教育,NULL,01010000208A110000E85D991083025E40102CBE69C6573D40
1078,浙江省德清县职业中等专业学校,浙江省德清县武康街道北湖西街440号,119.9386209,30.54992809,湖州市,德清县,武康街道,职业高中学校,330521,中等教育,NULL,01010000208A110000E835655D12FC5D4020685516C88C3E40
1107,杭州市余杭区仓前中心小学,杭州市余杭区仓前街道仓兴街348-2号,119.9903222,30.29261889,杭州市,余杭区,仓前街道,小学,330110,初等教育,NULL,01010000208A110000388E6E7061FF5D4060724E12E94A3E40
1108,宁波市海曙区石碶街道宸卿小学,浙江省宁波市海曙区石碶街道塘西中路111-1,121.5028911,29.83519687,宁波市,海曙区,石碶街道,小学,330203,初等教育,NULL,01010000208A11000070C6065E2F605E4020C84176CFD53D40
1134,浙江大学幼儿园玉泉分园,杭州市西湖区求是村内,120.1257567,30.26523628,杭州市,西湖区,灵隐街道,幼儿园,330106,学前教育,NULL,01010000208A110000389EE5650C085E4010E76486E6433E40
1163,杭州市西湖区山水学前教育集团（总园）,杭州市西湖区莲花街97号山水人家小区内,120.1028131,30.27288429,杭州市,西湖区,古荡街道,幼儿园,330106,学前教育,NULL,01010000208A11000028155F7D94065E406024ADBEDB453E40
1171,义乌市义亭红果果幼儿园,义乌市义亭镇前屋村李宅116号,119.9570079,29.20631777,金华市,义乌市,义亭镇,幼儿园,330782,学前教育,NULL,01010000208A11000028291F9E3FFD5D40D0BBCA3DD1343D40
1181,杭州市余杭区五常文福幼儿园,杭州市余杭区五常街道文一社区西溪北苑西区64幢,120.0314067,30.29160411,杭州市,余杭区,五常街道,幼儿园,330110,学前教育,NULL,01010000208A11000030734F9102025E40D0B63091A64A3E40
1183,义乌市绣湖中学教育集团,义乌市北苑街道秀禾路16号,120.0604804,29.31281598,金华市,义乌市,北苑街道,初级中学,330782,中等教育,NULL,01010000208A110000A0B72AE9DE035E40904A2EB514503D40
1184,义乌市稠江学雅幼儿园,义乌市稠江街道杨村二区67栋,120.0327009,29.29218365,金华市,义乌市,稠江街道,幼儿园,330782,学前教育,NULL,01010000208A110000A8BDABC517025E4080E1308CCC4A3D40
1191,杭州市余杭区塘栖镇第一幼儿园,杭州市余杭区塘栖镇油车桥20号,120.1851197,30.47804372,杭州市,余杭区,塘栖镇,幼儿园,330110,学前教育,NULL,01010000208A11000058367600D90B5E4040DEB612617A3E40
1194,杭州市余杭区径山镇双溪幼儿园,杭州市余杭区径山镇双溪村水磨苑107号,119.8207394,30.40938898,杭州市,余杭区,径山镇,幼儿园,330110,学前教育,NULL,01010000208A11000048B69FFE86F45D40600861B7CD683E40
1198,杭州市西湖小学教育集团（总校）,曙光路143号,120.1262284,30.25585827,杭州市,西湖区,北山街道,小学,330326,初等教育,NULL,01010000208A110000A0FD152014085E40202D69ED7F413E40
1203,义乌市金城高尔夫幼儿园,义乌市金城高尔夫2期20栋,120.0646221,29.35996556,金华市,义乌市,后宅街道,幼儿园,330782,学前教育,NULL,01010000208A110000D8CB93C422045E40705C09B4265C3D40
1219,义乌市后宅街道洪华凯旋幼儿园,后宅街道洪华村,120.0717659,29.35710862,金华市,义乌市,后宅街道,幼儿园,330782,学前教育,NULL,01010000208A110000D0D3CCCF97045E4080B96F786B5B3D40
1240,杭州市余杭区育海外国语学校,杭州市天目山西路255号,119.9919752,30.23249034,杭州市,余杭区,闲林街道,九年一贯制学校,330110,中等教育,NULL,01010000208A110000705B7A857CFF5D40100D9A7C843B3E40
1242,义乌市城西殿口幼儿园,浙江省义乌市城西街道殿口村,119.9922663,29.29679342,金华市,义乌市,城西街道,幼儿园,330782,学前教育,NULL,01010000208A110000A054984A81FF5D4060FA47A7FA4B3D40
1246,宁波市海曙区石碶培星幼儿园,宁波市海曙区石碶街道栎社华家207号,121.4803633,29.80778222,宁波市,海曙区,石碶街道,幼儿园,330203,学前教育,NULL,01010000208A110000E89ECE45BE5E5E404013D6D0CACE3D40
1249,义乌市后宅街道鹤田幼儿园,义乌市后宅街道鹤田一区43号、45号,120.0604108,29.41129031,金华市,义乌市,后宅街道,幼儿园,330782,学前教育,NULL,01010000208A11000070D371C5DD035E40906E4D524A693D40
1266,义乌市稠城第一小学教育集团,义乌市稠城街道城中中路57号,120.0753316,29.30862141,金华市,义乌市,稠城街道,小学,330782,初等教育,NULL,01010000208A110000F048BA3BD2045E40A06217D0014F3D40
1279,杭州市金都中心幼儿园,杭州市古墩路415号,120.0923107,30.28759412,杭州市,西湖区,文新街道,幼儿园,330106,学前教育,NULL,01010000208A110000D0CFFD6AE8055E40F0BD9AC49F493E40
1280,义乌公学,义乌市求真路388号,120.0000704,29.30621768,金华市,义乌市,城西街道,十二年一贯制学校,330782,中等教育,NULL,01010000208A110000208A3A2701005E40102C1C48644E3D40
1291,义乌市江东街道南苑幼儿园,江东街道江南四区71栋,120.0693157,29.28603194,金华市,义乌市,江东街道,幼儿园,330206,学前教育,NULL,01010000208A11000060BD26AB6F045E40D09D9F6339493D40
1306,杭州市余杭区径山镇长乐幼儿园,杭州市余杭区径山镇径山中路17号,119.8487489,30.33813595,杭州市,余杭区,径山镇,幼儿园,330110,学前教育,NULL,01010000208A11000038ADD4E651F65D4010DADE1390563E40
1314,义乌市北苑街道现代城市花园幼儿园,义乌市北苑街道春晗南路358号,120.0375169,29.31664659,金华市,义乌市,北苑街道,幼儿园,330782,学前教育,NULL,01010000208A110000103A51AD66025E40205349C00F513D40
1325,义乌市廿三里街道埠头幼儿园,义乌市廿三里街道埠头村6幢1-2号,120.1929863,29.3313819,金华市,义乌市,廿三里街,幼儿园,330782,学前教育,NULL,01010000208A110000504B20E3590C5E40F082A171D5543D40
1336,义乌宋庆龄幼儿园,浙江省稠江街道西江路与童店路交叉口,120.0504687,29.2831756,金华市,义乌市,稠江街道,幼儿园,330109,学前教育,NULL,01010000208A11000090C50EE13A035E40F02328327E483D40
1340,杭州市余杭区塘栖镇超山中心小学,浙江省杭州市余杭区塘栖镇超丁村坝儿斗108号,120.19926,30.44808679,杭州市,余杭区,塘栖镇,小学,330110,初等教育,NULL,01010000208A11000060D1F4ACC00C5E40501DE1D0B5723E40
1355,义乌市廿三里街道何宅幼儿园,义乌市廿三里街道何宅村,120.1854641,29.31173635,金华市,义乌市,廿三里街,幼儿园,330782,学前教育,NULL,01010000208A1100001059E4A4DE0B5E40E0BFFEF3CD4F3D40
1380,宁波市海曙区横街镇中心幼儿园,浙江省宁波市海曙区横街镇南洋河畔1号,121.3919793,29.85665193,宁波市,海曙区,横街镇,幼儿园,330203,学前教育,NULL,01010000208A110000C882663016595E40401C738A4DDB3D40
1392,宁波市海曙区石碶乐乐幼儿园,宁波市海曙区石碶街道建庄村万金路杨家30号,121.5026459,29.81606579,宁波市,海曙区,石碶街道,幼儿园,330203,学前教育,NULL,01010000208A1100004886C4592B605E40C05114B0E9D03D40
1399,杭州市余杭区英特西溪外国语学校,闲林街道上和路125号,119.9786624,30.24753803,杭州市,余杭区,闲林街道,九年一贯制学校,330110,中等教育,NULL,01010000208A110000209F6667A2FE5D40D08B10A75E3F3E40
1402,宁波市海曙区高桥镇灵云幼儿园,宁波市海曙区高桥镇望童路1108号,121.4767326,29.87940383,宁波市,海曙区,高桥镇,幼儿园,330203,学前教育,NULL,01010000208A110000908665C9825E5E40305AEC9B20E13D40
1428,杭州西溪伟才幼儿园有限公司,杭州市西湖区天目山路363号,120.0835248,30.26246229,杭州市,西湖区,留下街道,幼儿园,330106,学前教育,NULL,01010000208A11000000DF807858055E4030B083BA30433E40
1440,宁波市海曙区石碶新阳幼儿园,浙江省宁波市海曙区石碶街道东杨村71号,121.4513927,29.79907322,宁波市,海曙区,石碶街道,幼儿园,330203,学前教育,NULL,01010000208A110000985D489EE35C5E407030141090CC3D40
1459,浙江省广播电视中等专业学校,浙江省杭州市西湖区教工路42号,120.1318291,30.27770517,杭州市,西湖区,西溪街道,成人中等专业学校,330106,中等教育,NULL,01010000208A110000B83F60E36F085E4010F7ABAF17473E40
1460,义乌市廿三里街道小白鸽幼儿园,义乌市廿三里街道后畈村一号,120.1639641,29.32739935,金华市,义乌市,廿三里街,幼儿园,330782,学前教育,NULL,01010000208A110000F0363F637E0A5E40C0818771D0533D40
1461,杭州市余杭区塘栖镇宏畔幼儿园,杭州市余杭区塘栖镇莫家桥村委往东100米,120.1571608,30.44443605,杭州市,余杭区,塘栖镇,幼儿园,330110,学前教育,NULL,01010000208A110000C8FA2AEC0E0A5E40E080A48FC6713E40
1502,杭州市余杭区北湖绿洲幼儿园,杭州市余杭区瓶窑镇北湖绿洲小区23-1号,119.9748339,30.3810721,杭州市,余杭区,瓶窑镇,幼儿园,330110,学前教育,NULL,01010000208A1100003066C1AD63FE5D4000BDDDF08D613E40
1504,义乌市廿三里安博幼儿园,义乌市廿三里街道麻车塘二区6幢,120.1668843,29.34917626,金华市,义乌市,廿三里街,幼儿园,330782,学前教育,NULL,01010000208A110000B0BA513BAE0A5E40E0888D9D63593D40
1523,宁波市海曙区洞桥镇百梁天成希望小学,宁波市海曙区洞桥镇蕙江村桥北38号,121.3857417,29.76967903,宁波市,海曙区,洞桥镇,小学,330203,初等教育,NULL,01010000208A11000078190BFEAF585E4050AD4DAF09C53D40
1544,宁波市海曙区洞桥镇晨晨幼儿园,宁波市海曙区洞桥镇张家垫村1号,121.4164014,29.76347338,宁波市,海曙区,洞桥镇,幼儿园,330203,学前教育,NULL,01010000208A110000189DEF51A65A5E40F02BCAFD72C33D40
1546,义乌市廿三里街道金桥人家幼儿园,义乌市廿三里街道金桥小区22幢1号,120.1612389,29.33243678,金华市,义乌市,廿三里街,幼儿园,330782,学前教育,NULL,01010000208A110000F09B22BD510A5E40607FA1931A553D40
1547,杭州市余杭区昂立天都城幼儿园,杭州市余杭区星桥街道天月苑内,120.243687,30.389117,杭州市,余杭区,星桥街道,幼儿园,330110,学前教育,NULL,01010000208A11000078DD5B91980F5E405051F52B9D633E40
1589,浙江义乌枫叶国际学校,义乌市江东街道塔下洲A3区义乌枫叶国际学校,120.0408104,29.27179893,金华市,义乌市,江东街道,高级中学,330782,中等教育,NULL,01010000208A110000086D00A39C025E4010705B9D94453D40
1634,宁波市海曙区古林镇中心初级中学,宁波市海曙区古林镇育华路1号,121.4927963,29.8623315,宁波市,海曙区,古林镇,初级中学,330203,中等教育,NULL,01010000208A11000058A778F9895F5E4080A1C5C1C1DC3D40
1635,浙江大学幼儿园西溪分园,杭州市西湖区天目山路148号,120.1381314,30.27681716,杭州市,西湖区,西溪街道,幼儿园,330106,学前教育,NULL,01010000208A11000038C6E024D7085E4070E0447DDD463E40
1640,义乌市佛堂镇石北幼儿园,佛堂镇石北村,120.089069,29.219266,金华市,义乌市,佛堂镇,幼儿园,330782,学前教育,NULL,01010000208A1100009885764EB3055E40F01F0BD121383D40
1642,浙江远大专修学院,浙江省杭州市西湖区翠苑街道黄姑山社区,120.117062,30.27849482,杭州市,西湖区,翠苑街道,民办的其他高等教育机构,330106,其他教育,NULL,01010000208A110000B894AEF17D075E40F07AD56F4B473E40
1643,杭州市学军中学海创园学校,余杭区荆余路379号,119.9613054,30.2510239,杭州市,余杭区,余杭街道,高级中学,330110,中等教育,NULL,01010000208A11000070B5DC0686FD5D40B003311A43403E40
1682,杭州市翠苑中学,西湖区翠苑新村二区37幢,120.1216127,30.29288952,杭州市,西湖区,翠苑街道,初级中学,330106,中等教育,NULL,01010000208A11000028829680C8075E40C0EBCECEFA4A3E40
1689,杭州之江高级中学,西湖区留和路533号,120.0060007,30.20888932,杭州市,西湖区,留下街道,高级中学,330106,中等教育,NULL,01010000208A11000048ECE45062005E40B06828C579353E40
1690,义乌市赤岸镇毛店幼儿园,义乌市赤岸镇毛店村,119.993325,29.101405,金华市,义乌市,赤岸镇,幼儿园,330782,学前教育,NULL,01010000208A110000285305A392FF5D40A0A696ADF5193D40
1691,杭州市余杭区良渚西塘雅苑幼儿园,杭州市余杭区良渚街道莫干山路西塘花苑小区2-1,120.0835131,30.35031773,杭州市,余杭区,良渚街道,幼儿园,330110,学前教育,NULL,01010000208A110000C8B0594758055E4020BD4A6CAE593E40
1698,杭州市西湖区政苑幼儿园,杭州市西湖区丰潭路政苑小区73-1,120.09754,30.29928232,杭州市,西湖区,三墩镇,幼儿园,330106,学前教育,NULL,01010000208A110000100C37183E065E40508E2DC49D4C3E40
1702,杭州市余杭区未来科技城海曙幼儿园,杭州市余杭区五常街道联创街2-1号,120.0272701,30.29378741,杭州市,余杭区,五常街道,幼儿园,330110,学前教育,NULL,01010000208A11000018BC05CBBE015E40C0CFE2A6354B3E40
1730,义乌市启东学校教育集团,义乌市福田街道荷叶塘工作片听涛路8号,120.1132728,29.37310147,金华市,义乌市,福田街道,九年一贯制学校,330782,中等教育,NULL,01010000208A11000078986DDC3F075E4060EB0494835F3D40
1743,宁波市海曙区古林镇藕池小学,宁波市海曙区古林镇藕池新村1号,121.5058082,29.84227933,宁波市,海曙区,古林镇,小学,330203,初等教育,NULL,01010000208A110000582385295F605E40E0263C9E9FD73D40
1754,杭州东方中学,杭州市西湖区西溪路655-1号,120.0822223,30.25627531,杭州市,西湖区,留下街道,完全中学,330106,中等教育,NULL,01010000208A110000E08B802143055E40E0A132429B413E40
1778,义乌市后宅街道塘下幼儿园,义乌市后宅街道塘下村,120.0109237,29.36474331,金华市,义乌市,后宅街道,幼儿园,330782,学前教育,NULL,01010000208A11000020B836F9B2005E40804B43D15F5D3D40
1782,宁波市海曙区集士港镇科创幼儿园,浙江省宁波市集士港镇科创北路247号科创幼儿园,121.4502736,29.85981881,宁波市,海曙区,集士港镇,幼儿园,330203,学前教育,NULL,01010000208A11000098B37B48D15C5E4010BBE9151DDC3D40
